,date,code,capital,money_lock,money_rest,deal_action,deal_price,object_vol,fees,slippage
1746,20200204,STOCK,,0.0,,,,,,
1747,20200204,000906.XSHG,,198928370.0,,hold,,50000.0,,
1748,20200204,INDEX,,198928370.0,,,,,,
1749,20200204,ALL,361549126.0698,198928370.0,162620756.06980002,,,,,
1750,20200205,CASH,,,162620756.06980002,,,,,
1751,20200205,STOCK,,0.0,,,,,,
1752,20200205,000906.XSHG,,201866270.0,,hold,,50000.0,,
1753,20200205,INDEX,,201866270.0,,,,,,
1754,20200205,ALL,364487026.0698,201866270.0,162620756.06980002,,,,,
1755,20200206,CASH,,,162620756.06980002,,,,,
1756,20200206,STOCK,,0.0,,,,,,
1757,20200206,000906.XSHG,,206236634.99999997,,hold,,50000.0,,
1758,20200206,INDEX,,206236634.99999997,,,,,,
1759,20200206,ALL,368857391.0698,206236634.99999997,162620756.06980002,,,,,
1760,20200207,CASH,,,162620756.06980002,,,,,
1761,20200207,STOCK,,0.0,,,,,,
1762,20200207,000906.XSHG,,206666520.0,,hold,,50000.0,,
1763,20200207,INDEX,,206666520.0,,,,,,
1764,20200207,ALL,369287276.0698,206666520.0,162620756.06980002,,,,,
1765,20200210,CASH,,,162620756.06980002,,,,,
1766,20200210,STOCK,,0.0,,,,,,
1767,20200210,000906.XSHG,,207901530.0,,hold,,50000.0,,
1768,20200210,INDEX,,207901530.0,,,,,,
1769,20200210,ALL,370522286.0698,207901530.0,162620756.06980002,,,,,
1770,20200211,CASH,,,162620756.06980002,,,,,
1771,20200211,STOCK,,0.0,,,,,,
1772,20200211,000906.XSHG,,209090639.99999997,,hold,,50000.0,,
1773,20200211,INDEX,,209090639.99999997,,,,,,
1774,20200211,ALL,371711396.0698,209090639.99999997,162620756.06980002,,,,,
1775,20200212,CASH,,,162620756.06980002,,,,,
1776,20200212,STOCK,,0.0,,,,,,
1777,20200212,000906.XSHG,,211315735.0,,hold,,50000.0,,
1778,20200212,INDEX,,211315735.0,,,,,,
1779,20200212,ALL,373936491.0698,211315735.0,162620756.06980002,,,,,
1780,20200213,CASH,,,162620756.06980002,,,,,
1781,20200213,STOCK,,0.0,,,,,,
1782,20200213,000906.XSHG,,209885185.0,,hold,,50000.0,,
1783,20200213,INDEX,,209885185.0,,,,,,
1784,20200213,ALL,372505941.0698,209885185.0,162620756.06980002,,,,,
1785,20200214,CASH,,,162620756.06980002,,,,,
1786,20200214,STOCK,,0.0,,,,,,
1787,20200214,000906.XSHG,,211069265.0,,hold,,50000.0,,
1788,20200214,INDEX,,211069265.0,,,,,,
1789,20200214,ALL,373690021.0698,211069265.0,162620756.06980002,,,,,
1790,20200217,CASH,,,162620756.06980002,,,,,
1791,20200217,STOCK,,0.0,,,,,,
1792,20200217,000906.XSHG,,216315875.0,,hold,,50000.0,,
1793,20200217,INDEX,,216315875.0,,,,,,
1794,20200217,ALL,378936631.0698,216315875.0,162620756.06980002,,,,,
1795,20200218,CASH,,,162620756.06980002,,,,,
1796,20200218,STOCK,,0.0,,,,,,
1797,20200218,000906.XSHG,,216164230.0,,hold,,50000.0,,
1798,20200218,INDEX,,216164230.0,,,,,,
1799,20200218,ALL,378784986.0698,216164230.0,162620756.06980002,,,,,
1800,20200219,CASH,,,162620756.06980002,,,,,
1801,20200219,STOCK,,0.0,,,,,,
1802,20200219,000906.XSHG,,215361704.99999997,,hold,,50000.0,,
1803,20200219,INDEX,,215361704.99999997,,,,,,
1804,20200219,ALL,377982461.0698,215361704.99999997,162620756.06980002,,,,,
1805,20200220,CASH,,,162620756.06980002,,,,,
1806,20200220,STOCK,,0.0,,,,,,
1807,20200220,000906.XSHG,,220076090.00000003,,hold,,50000.0,,
1808,20200220,INDEX,,220076090.00000003,,,,,,
1809,20200220,ALL,382696846.0698,220076090.00000003,162620756.06980002,,,,,
1810,20200221,CASH,,,162620756.06980002,,,,,
1811,20200221,STOCK,,0.0,,,,,,
1812,20200221,000906.XSHG,,221015130.0,,hold,,50000.0,,
1813,20200221,INDEX,,221015130.0,,,,,,
1814,20200221,ALL,383635886.0698,221015130.0,162620756.06980002,,,,,
1815,20200224,CASH,,,162620756.06980002,,,,,
1816,20200224,STOCK,,0.0,,,,,,
1817,20200224,000906.XSHG,,221138710.0,,hold,,50000.0,,
1818,20200224,INDEX,,221138710.0,,,,,,
1819,20200224,ALL,383759466.0698,221138710.0,162620756.06980002,,,,,
1820,20200225,CASH,,,162620756.06980002,,,,,
1821,20200225,STOCK,,0.0,,,,,,
1822,20200225,000906.XSHG,,221092569.99999997,,hold,,50000.0,,
1823,20200225,INDEX,,221092569.99999997,,,,,,
1824,20200225,ALL,383713326.0698,221092569.99999997,162620756.06980002,,,,,
1825,20200226,CASH,,,162620756.06980002,,,,,
1826,20200226,STOCK,,0.0,,,,,,
1827,20200226,000906.XSHG,,217578760.0,,hold,,50000.0,,
1828,20200226,INDEX,,217578760.0,,,,,,
1829,20200226,ALL,380199516.0698,217578760.0,162620756.06980002,,,,,
1830,20200227,CASH,,,162620756.06980002,,,,,
1831,20200227,STOCK,,0.0,,,,,,
1832,20200227,000906.XSHG,,218150650.0,,hold,,50000.0,,
1833,20200227,INDEX,,218150650.0,,,,,,
1834,20200227,ALL,380771406.0698,218150650.0,162620756.06980002,,,,,
1835,20200228,CASH,,,162620756.06980002,,,,,
1836,20200228,STOCK,,0.0,,,,,,
1837,20200228,000906.XSHG,,209465635.00000003,,hold,,50000.0,,
1838,20200228,INDEX,,209465635.00000003,,,,,,
1839,20200228,ALL,372086391.0698,209465635.00000003,162620756.06980002,,,,,
1840,20200302,CASH,,,162620756.06980002,,,,,
1841,20200302,STOCK,,0.0,,,,,,
1842,20200302,000906.XSHG,,216605609.99999997,,hold,,50000.0,,
1843,20200302,INDEX,,216605609.99999997,,,,,,
1844,20200302,ALL,379226366.0698,216605609.99999997,162620756.06980002,,,,,
1845,20200303,CASH,,,162620756.06980002,,,,,
1846,20200303,STOCK,,0.0,,,,,,
1847,20200303,000906.XSHG,,217986769.99999997,,hold,,50000.0,,
1848,20200303,INDEX,,217986769.99999997,,,,,,
1849,20200303,ALL,380607526.0698,217986769.99999997,162620756.06980002,,,,,
1850,20200304,CASH,,,162620756.06980002,,,,,
1851,20200304,STOCK,,0.0,,,,,,
1852,20200304,000906.XSHG,,218992389.99999997,,hold,,50000.0,,
1853,20200304,INDEX,,218992389.99999997,,,,,,
1854,20200304,ALL,381613146.0698,218992389.99999997,162620756.06980002,,,,,
1855,20200305,CASH,,,162620756.06980002,,,,,
1856,20200305,STOCK,,0.0,,,,,,
1857,20200305,000906.XSHG,,223458255.0,,hold,,50000.0,,
1858,20200305,INDEX,,223458255.0,,,,,,
1859,20200305,ALL,386079011.0698,223458255.0,162620756.06980002,,,,,
1860,20200306,CASH,,,162620756.06980002,,,,,
1861,20200306,STOCK,,0.0,,,,,,
1862,20200306,000906.XSHG,,220383185.0,,hold,,50000.0,,
1863,20200306,INDEX,,220383185.0,,,,,,
1864,20200306,ALL,383003941.0698,220383185.0,162620756.06980002,,,,,
1865,20200309,CASH,,,162620756.06980002,,,,,
1866,20200309,STOCK,,0.0,,,,,,
1867,20200309,000906.XSHG,,212457400.0,,hold,,50000.0,,
1868,20200309,INDEX,,212457400.0,,,,,,
1869,20200309,ALL,375078156.0698,212457400.0,162620756.06980002,,,,,
1870,20200310,CASH,,,162620756.06980002,,,,,
1871,20200310,STOCK,,0.0,,,,,,
1872,20200310,000906.XSHG,,217306145.00000003,,hold,,50000.0,,
1873,20200310,INDEX,,217306145.00000003,,,,,,
1874,20200310,ALL,379926901.0698,217306145.00000003,162620756.06980002,,,,,
1875,20200311,600519.XSHG,,162424504.0,,buy,1158.52,140200.0,129939.60320000001,0.0
1876,20200311,CASH,,,66312.46660003066,,,,,
1877,20200311,600519.XSHG,,162424504.0,,hold,,140200.0,,
1878,20200311,STOCK,,162424504.0,,,,,,
1879,20200311,000906.XSHG,,214318345.0,,hold,,50000.0,,
1880,20200311,INDEX,,214318345.0,,,,,,
1881,20200311,ALL,376809161.4666,376742849.0,66312.46660003066,,,,,
1882,20200312,CASH,,,66312.46660003066,,,,,
1883,20200312,600519.XSHG,,159617700.0,,hold,,140200.0,,
1884,20200312,STOCK,,159617700.0,,,,,,
1885,20200312,000906.XSHG,,210309290.0,,hold,,50000.0,,
1886,20200312,INDEX,,210309290.0,,,,,,
1887,20200312,ALL,369993302.46660006,369926990.0,66312.46660003066,,,,,
1888,20200313,600519.XSHG,,155906606.0,,sell,1112.03,140200.0,280631.8908,0.0
1889,20200313,CASH,,,155692286.57580003,,,,,
1890,20200313,STOCK,,0.0,,,,,,
1891,20200313,000906.XSHG,,207742085.0,,hold,,50000.0,,
1892,20200313,INDEX,,207742085.0,,,,,,
1893,20200313,ALL,363434371.57580006,207742085.0,155692286.57580003,,,,,
1894,20200316,CASH,,,155692286.57580003,,,,,
1895,20200316,STOCK,,0.0,,,,,,
1896,20200316,000906.XSHG,,198593820.0,,hold,,50000.0,,
1897,20200316,INDEX,,198593820.0,,,,,,
1898,20200316,ALL,354286106.57580006,198593820.0,155692286.57580003,,,,,
1899,20200317,CASH,,,155692286.57580003,,,,,
1900,20200317,STOCK,,0.0,,,,,,
1901,20200317,000906.XSHG,,197986145.0,,hold,,50000.0,,
1902,20200317,INDEX,,197986145.0,,,,,,
1903,20200317,ALL,353678431.57580006,197986145.0,155692286.57580003,,,,,
1904,20200318,CASH,,,155692286.57580003,,,,,
1905,20200318,STOCK,,0.0,,,,,,
1906,20200318,000906.XSHG,,194169400.0,,hold,,50000.0,,
1907,20200318,INDEX,,194169400.0,,,,,,
1908,20200318,ALL,349861686.57580006,194169400.0,155692286.57580003,,,,,
1909,20200319,CASH,,,155692286.57580003,,,,,
1910,20200319,STOCK,,0.0,,,,,,
1911,20200319,000906.XSHG,,192661040.0,,hold,,50000.0,,
1912,20200319,INDEX,,192661040.0,,,,,,
1913,20200319,ALL,348353326.57580006,192661040.0,155692286.57580003,,,,,
1914,20200320,CASH,,,155692286.57580003,,,,,
1915,20200320,STOCK,,0.0,,,,,,
1916,20200320,000906.XSHG,,195807505.0,,hold,,50000.0,,
1917,20200320,INDEX,,195807505.0,,,,,,
1918,20200320,ALL,351499791.57580006,195807505.0,155692286.57580003,,,,,
1919,20200323,CASH,,,155692286.57580003,,,,,
1920,20200323,STOCK,,0.0,,,,,,
1921,20200323,000906.XSHG,,188787770.0,,hold,,50000.0,,
1922,20200323,INDEX,,188787770.0,,,,,,
1923,20200323,ALL,344480056.57580006,188787770.0,155692286.57580003,,,,,
1924,20200324,CASH,,,155692286.57580003,,,,,
